,Район,Адрес,Площадь,clean_address,latitude,longitude
1925,Невский,сквер б/н западнее пересечения пр. Пятилеток и ул. Коллонтай,0.4,санкт-петербург проспект Пятилеток ,59.9225974,30.4483355
1926,Василеостровский,сквер б/н на 17-й линии В.О. между д.4-6 и д.12,0.17,санкт-петербург линия В. О. 17-я дом 4-6,59.9330786,30.2626733
1927,Василеостровский,сквер б/н на ул.Репина между д.17 и д.23 по 2-й линии В.О.,0.11,санкт-петербург улица Репина дом 17,59.9405411,30.2801151
1928,Василеостровский,сквер б/н на 10-й линии В.О. между д.31-33 и д.37,0.29,санкт-петербург линия В. О. 10-я дом 31-33,59.9377456,30.0779739
1929,Василеостровский,сквер б/н на Опочининой ул. у д.19 по Наличной ул.,0.35,санкт-петербург улица Опочининая дом 19,59.9301073,30.2295548
1930,Василеостровский,"сквер б/н на Остоумовой ул. у д.24, корп.2 по ул.Шевченко",0.68,санкт-петербург улица Остоумовая дом 24  корпус 2,59.9140587,27.4561184
1931,Василеостровский,сквер б/н на Весельной ул. между д.5 и д.91 по Большому пр. В.О.,0.16,санкт-петербург улица Весельная дом 5,59.9295843,30.2346853
1932,Василеостровский,сквер б/н на Опочининой ул. у д.34 по Гаванской ул.,0.13,санкт-петербург улица Опочининая дом 34,59.9301047,30.2295347
1933,Василеостровский,сквер б/н на Опочининой ул. у  д. 32 по Гаванской ул.,0.06,санкт-петербург улица Опочининая дом 32,59.9301047,30.2295347
1934,Василеостровский,"сквер б/н на Карташихиной ул., д.19",0.39,санкт-петербург улица Карташихиная дом 19,59.9140587,27.4561184
1935,Василеостровский,сквер б/н на Гаванской ул. между д.26 и д.30,0.08,санкт-петербург улица Гаванская дом 26,59.9344997,30.2281802
1936,Василеостровский,"бульвар б/н на ул.Нахимова у д.1, д.3, корп.1, и д.5, корп.1",3.26,санкт-петербург улица Нахимова дом 1,59.9417096,30.2182302
1937,Василеостровский,сквер б/н на наб. р. Смоленки у пр.КИМа,0.63,санкт-петербург набережная Смоленки ,59.9474637,30.1624111
1938,Василеостровский,бульвар б/н на ул. Кораблестроителей от Наличной ул. до ул.Нахимова,8.01,санкт-петербург улица Кораблестроителяя ,59.9478265,30.2074577
1939,Василеостровский,"бульвар б/н между д.31, корп.1 по ул.Кораблестроителей и д.42 по На",0.72,санкт-петербург улица Кораблестроителяя дом 31  корпус 1,59.9140587,27.4561184
1940,Василеостровский,бульвар б/н на берегу р.Смоленки у ул.Одоевского,0.99,санкт-петербургр Смоленки ,59.9474637,30.1624111
