Район города,Номер по списку,Наименование,"Площадь, га",Основание
Адмиралтейский,1152,сквер б/н на Курляндской ул. у д.36-38,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1153,сквер б/н на Нарвском пр. севернее д.8,0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Адмиралтейский,1154,"сквер б/н на наб. Обводного кан. севернее д.22, корп.2 по Бумажной ул.",0.03,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8003,сквер б/н на пр.Ветеранов у д.131,2.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8005,сквер б/н на пересечении ул.Юных Пионеров и ул.Свободы,0.5,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8006,сквер б/н на пр.Ленина от ул.Освобождения до Бронетанковой ул.,0.79,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8009,сквер Скачки на пересечении пр.Ленина и ул.Ломоносова,0.21,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8010,"сквер Автомобилист на Кингисеппском шоссе, д.47",0.72,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8011,"сквер б/н на Нарвской ул., д.4, корп.1",0.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8012,сквер б/н на пересечении пр.Ленина и ул.Массальского,0.71,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8013,сквер б/н на пр.Ленина от ул.Юных Пионеров до ул.Суворова,0.74,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8015,"Нижний парк между Нагорной ул., ул.Первого Мая и Привокзальной ул.",18.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8039,"сквер б/н на ул.Добровольцев, д.46, д.54 и д.62",1.19,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8052,"сквер б/н на ул.Маршала Захарова, д.56",0.17,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8057,бульвар б/н на Петергофском шоссе от ул.Доблести до пр.Маршала Жукова,13.29,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8082,бульвар б/н на Петергофском шоссе от Дудергофского кан. до ул.Доблести,4.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8085,сквер б/н вдоль р.Ивановки между пр.Ветеранов и пр.Народного Ополчения,16.55,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8099,сквер б/н на пересечении пр.Красных Командиров и ул.Восстановления,0.37,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8101,Можайский сквер на Гатчинском шоссе между д.3 и д.7,0.6,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8104,"сквер б/н на пр.Ленина, д.91",0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8108,сквер б/н на пр.Ленина между д.65 и д.67,0.13,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8109,сквер б/н на Гвардейской ул. между д.5 и д.9,0.18,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8111,"сквер б/н на Гвардейской ул., д.12",0.04,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8112,бульвар б/н на ул.Юных Пионеров от пр.Ленина до Огородной ул.,0.2,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8113,сквер б/н на пересечении ул.Лермонтова и ул.Юных Пионеров,0.59,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8117,"сквер б/н на Стрельнинском шоссе, д.6, корп.3",0.15,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8120,"сквер б/н на пр.Ленина, д.81",0.47,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Красносельский,8122,сквер б/н на пересечении пр.Ветеранов и ул.Партизана Германа,0.95,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11001,"Московский парк Победы между Московским пр., Кузнецовской ул., пр.Юрия Гагарина и Бассейной ул.",66.88,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11004,бульвар б/н по Варшавской ул.,2.67,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11005,сад Дубовая Роща на западной стороне Пулковского шоссе от Дунайского пр. до линии Окружной ж.д.,14.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11006,бульвар б/н на Пулковском шоссе от пл.Победы до Дунайского пр.,10.9,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11007,"сквер б/н на улице Гастелло, д.7",0.89,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11008,сквер б/н на ул.Фрунзе между д.16 и д.18,1.54,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11010,"сквер б/н на Московском шоссе, д.14, корп.1, и д.16, корп.1",1.22,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11013,"сквер Южная Роща между ул.Типанова, Московским пр., Алтайской ул. и Демонстрационным проездом",2.25,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
Московский,11023,"сквер б/н на пр.Космонавтов, д.28, корп.1, и д.30, корп.1",1.12,Закон Санкт-Петербурга от 19.09.2007 № 430-85 «О зеленых насаждениях общего пользования»
